"Gene","metaRanking","RP"
"LOC100132310",1,1
"FLJ35379",2,2
"ACTG1P1",3,4.151
"LOC100128542",4,5.471
"LOC100132235",5,7.492
"BECN1L1",6,8.629
"CHMP4BP1",7,10.18
"RNU6-123P",8,11.58
"LOC100129058",9,12.79
"ND5",10,14.56
"RNU6-424P",11,15.65
"YBX1P10",12,17.27
"LOC100128870",13,18.36
"LOC100131124",14,19.68
"RNU6-929P",15,21.56
"LOC653162",16,22.66
"YBX1P1",17,23.75
"ERCC-00092",18,24.84
"RN7SKP20",19,25.92
"CYTB",20,27.12
"RPL7AP8",21,28.2
"RN7SKP73",22,29.76
"RNU6-997P",23,31.13
"RN7SL413P",24,32.61
"HMGB1P14",25,33.81
"RNU4-73P",26,35.99
"RN7SL526P",27,37.31
"RN7SL68P",28,38.38
"EEF1GP8",29,39.96
"RN7SKP181",30,41.47
"LOC100129236",31,42.54
"RN7SL753P",32,43.61
"RNU6-173P",33,44.68
"FAM123C",34,45.87
"YWHAZP3",35,47.07
"RN7SL521P",36,48.39
"RNA5SP379",37,49.85
"RN7SKP9",38,51.04
"RN7SL414P",39,52.39
"RNU6-692P",40,53.85
"RNU6-307P",41,55.33
"RNU2-40P",42,57.06
"RN7SKP225",43,59.27
"RN7SL554P",44,60.35
"RN7SL802P",45,62.16
"RN7SKP206",46,63.52
"RN7SKP271",47,65.17
"NACA3P",48,66.24
"RN7SKP115",49,67.31
"RNU6-802P",50,68.51
"RNU6-225P",51,69.58
"RNU6-224P",52,70.78
"RNU4-27P",53,71.85
"LOC440302",54,73.2
"RN7SKP140",55,74.39
"FTH1P18",56,75.46
"GJA1P1",57,76.52
"RN7SL252P",58,77.58
"RNU6-1148P",59,78.77
"RNU6-391P",60,79.84
"RNU6-64P",61,80.89
"RN7SL299P",62,81.95
"RN7SKP252",63,83.14
"TCEB1P28",64,84.2
"PTMAP5",65,85.26
"RNU6-382P",66,86.31
"SDCCAG3P1",67,87.36
"RN7SKP100",68,88.56
"RNU6-273P",69,89.61
"BCRP8",70,90.66
"RN7SKP136",71,91.71
"RN7SL833P",72,92.76
"RNA5SP240",73,93.81
"RN7SL442P",74,95.14
"RNU6-828P",75,96.47
"RN7SL40P",76,97.52
"MT-TF",77,98.85
"RNU4-88P",78,99.9
"RN7SKP11",79,101.4
"RN7SL569P",80,102.4
"RN7SKP143",81,103.5
"RN7SL621P",82,104.5
"MIR453",83,105.8
"CHCHD2P9",84,106.9
"LOC646127",85,108.1
"RN7SL551P",86,109.1
"RN7SKP127",87,110.4
"RN7SL786P",88,111.6
"RN7SL430P",89,113
"MIR1245",90,114.3
"RN7SL340P",91,115.3
"RN7SKP286",92,116.4
"RNU6-1034P",93,117.6
"WBP2P1",94,118.6
"RNU6-66P",95,119.7
"LOC646851",96,120.7
"RNU6-1231P",97,121.9
"GCOM2",98,123.2
"RNU6-283P",99,124.3
"MIR525",100,125.8
"RN7SL352P",101,126.8
"RN7SL652P",102,127.8
"RNU6-711P",103,128.9
"RN7SL159P",104,130.8
"RNU6-1161P",105,132
"RN7SKP19",106,133.6
"RNA5SP20",107,134.6
"LAMTOR5P1",108,135.7
"KRTAP21-3",109,136.8
"RN7SKP161",110,138
"PPP1R14BP5",111,139.4
"RNU4-43P",112,140.4
"RNU6-412P",113,141.5
"OR5AN2P",114,142.5
"RN7SL177P",115,143.5
"RN7SL370P",116,144.6
"RNU6-823P",117,145.9
"RNU6-883P",118,146.9
"RN7SKP129",119,147.9
"RNU1-139P",120,149.8
"RNU6-1261P",121,150.9
"RPS19P1",122,152.1
"RN7SKP120",123,153.3
"KRT18P59",124,154.3
"RN7SL306P",125,155.3
"RN7SL745P",126,156.4
"RN7SL255P",127,157.7
"RNU4-81P",128,158.8
"FXYD6P3",129,159.9
"WDR82P1",130,161.2
"CFL1P3",131,162.2
"RNVU1-8",132,163.4
"RN7SKP279",133,164.8
"RN7SL302P",134,165.8
"RPS16P9",135,166.8
"RN7SL192P",136,168.2
"RNA5SP175",137,169.5
"RN7SL614P",138,170.5
"RPL36P18",139,171.5
"RP5-882O7.1",140,172.6
"RMRPP5",141,173.6
"RNU6-131P",142,174.9
"RNU2-25P",143,176.1
"RPL36AP39",144,177.3
"RNA5SP185",145,178.3
"RN7SKP74",146,179.7
"RNU2-71P",147,180.9
"RNU6-626P",148,182
"RNU1-34P",149,183.1
"LOC101928049",150,184.3
"ERCC-00134",151,185.3
"RN7SL748P",152,186.3
"MIR141",153,187.6
"LOC100128998",154,187.6
"LOC100132008",155,189.1
"RN7SL705P",156,190.4
"RN7SL598P",157,191.5
"RPS26P54",158,192.7
"RN7SKP87",159,193.7
"RN7SKP185",160,194.9
"RNU6-1081P",161,196.1
"RN7SL76P",162,197.9
"RN7SL111P",163,199
"RN7SL104P",164,200.2
"RNU6-666P",165,201.8
"RNU1-129P",166,202.9
"ACTBP2",167,204
"RN7SL388P",168,205
"RNU6-366P",169,206
"RN7SKP39",170,207.1
"RNU6-1297P",171,208.4
"RNU6-756P",172,209.5
"RNU6-738P",173,210.5
"RN7SKP25",174,211.5
"RN7SKP230",175,212.5
"LOC100133331",176,213.7
"RNU6-1074P",177,214.8
"RN7SKP109",178,215.8
"RN7SL556P",179,216.8
"LOC100130441",180,218.3
"RNU2-39P",181,219.7
"RNU1-52P",182,221.4
"OR7E93P",183,222.8
"RN7SL646P",184,223.8
"RPS11P5",185,225.2
"RN7SL424P",186,226.2
"RN7SL26P",187,227.3
"RN7SL581P",188,228.5
"NECAP1P1",189,229.6
"RNU6-619P",190,230.7
"CISD1P1",191,231.7
"RN7SKP189",192,232.9
"MRPS21P2",193,233.9
"RNU6-282P",194,235
"ACTBP7",195,236
"RNU6-163P",196,237
"RN7SL282P",197,238
"RPL29P12",198,239.1
"RPL22P19",199,240.1
"LOC730291",200,241.1
"RNU1-123P",201,242.1
"RNU6-569P",202,243.5
"RNU1-55P",203,244.5
"RNU4ATAC13P",204,245.5
"RN7SL757P",205,246.9
"KRT18P20",206,247.9
"LOC100130800",207,248.9
"RN7SL445P",208,250
"RNA5SP163",209,251
"BAK1P2",210,252
"RN7SKP94",211,253
"LOC100131580",212,254.3
"RN7SKP46",213,255.3
"RN7SL504P",214,256.4
"RNU6-1246P",215,257.4
"RNU6-438P",216,258.4
"RN7SL293P",217,259.7
"OR5BS1P",218,260.7
"RPL12P2",219,261.8
"RN7SL8P",220,263
"RNU6-63P",221,264.1
"RN7SL401P",222,265.3
"LOC644525",223,266.3
"LOC100133760",224,267.5
"RN7SKP15",225,268.5
"RN7SL674P",226,269.5
"RN7SL672P",227,270.5
"RNA5SP200",228,271.6
"CHCHD2P8",229,272.6
"LOC100128203",230,273.6
"RNU6-996P",231,274.6
"CBX1P1",232,276.1
"RN7SKP118",233,277.1
"RN7SKP195",234,278.1
"LOC100134217",235,279.3
"RPS18P12",236,280.4
"RN7SL156P",237,281.4
"LOC100131540",238,282.4
"LOC100134461",239,283.4
"RNU6-708P",240,284.4
"RN7SL610P",241,285.5
"NOS2P3",242,286.7
"RN7SL677P",243,287.7
"CLEC19A",244,288.9
"RN7SKP85",245,290.1
"RN7SL678P",246,291.1
"RN7SKP292",247,292.3
"OR2B7P",248,293.9
"RN7SKP89",249,295.1
"RN7SKP124",250,296.1
"RN7SL191P",251,297.3
"LOC101929908",252,298.4
"RN7SKP218",253,299.4
"LOC100130156",254,300.6
"RN7SL870P",255,301.6
"RNU4-13P",256,302.6
"RN7SL704P",257,304.2
"RN7SL420P",258,305.2
"RN7SKP102",259,306.2
"NOS2P1",260,307.4
"RN7SKP72",261,308.4
"RNU6-161P",262,309.4
"RN7SL648P",263,310.5
"LOC100129514",264,311.5
"RNU1-7P",265,312.5
"RN7SL737P",266,313.7
"RNU6-1243P",267,314.7
"TMEM210",268,315.9
"RNU1-47P",269,317.1
"LOC729770",270,318.1
"OR10AC1P",271,319.2
"LOC100128901",272,320.2
"RN7SKP162",273,321.2
"MYL8P",274,322.2
"OR7E162P",275,323.4
"RNU6-115P",276,324.4
"RNU6-332P",277,325.5
"RNU1-141P",278,327.6
"COX2",279,327.6
"ZNRF3-AS1",280,328.6
"RNU6-449P",281,329.9
"ND4",282,330
"NAP1L4P1",283,331
"RN7SL116P",284,332
"RNU6ATAC30P",285,333.2
"RN7SKP79",286,334.2
"OR5AZ1P",287,335.2
"RN7SL734P",288,336.4
"OR56B3P",289,337.4
"RNU6-841P",290,338.6
"IGKV7-3",291,340
"RN7SL382P",292,341
"RN7SKP170",293,342
"FAM90A15",294,343.4
"RNU6-289P",295,344.4
"RN7SKP203",296,345.5
"RN7SKP45",297,346.7
"RNU4-20P",298,348.1
"RNA5SP262",299,349.6
"RN7SL580P",300,350.6
"RNU6-152P",301,351.6
"RPL13AP25",302,352.6
"RN7SL508P",303,353.7
"RNU1-148P",304,355.3
"THEGL",305,356.3
"RNU6-67P",306,357.7
"RN7SL105P",307,358.7
"RN7SKP75",308,359.7
"RNU6-209P",309,360.9
"RN7SKP178",310,362
"RNU2-68P",311,363
"RNU2-36P",312,364.3
"COX1",313,364.7
"LOC728661",314,365.5
"RN7SL375P",315,366.7
"RN7SL634P",316,367.7
"RNU6-642P",317,368.7
"RNU6-1168P",318,369.9
"LOC728937",319,370.9
"RN7SKP90",320,371.9
"RN7SL793P",321,373.1
"RN7SL174P",322,374.3
"RNU6-1062P",323,375.8
"RNU6-502P",324,376.8
"LOC100124692",325,378.2
"FUSSEL18",326,379.2
"RNA5SP438",327,380.5
"RNU6-892P",328,381.5
"RNU1-136P",329,382.7
"RN7SL50P",330,383.7
"RN7SL432P",331,384.7
"LOC100127887",332,385.7
"RNA5SP197",333,387
"LOC728615",334,388.5
"RNA5SP474",335,389.5
"RN7SKP77",336,391
"OR7E130P",337,392
"RNU6-909P",338,393
"RN7SL449P",339,394.6
"RNU6-365P",340,395.7
"RNU6-529P",341,396.7
"RNA5SP128",342,397.9
"RN7SKP263",343,398.9
"RNU6-132P",344,399.9
"RNU4-52P",345,400.9
"RPL7AP6",346,401.9
"RN7SKP166",347,403.1
"RN7SL220P",348,404.5
"RN7SL714P",349,405.5
"RN7SKP52",350,406.9
"RN7SL549P",351,408.1
"RNU6-435P",352,409.1
"RN7SKP247",353,410.1
"RN7SL591P",354,411.2
"LOC101927180",355,412.2
"RPL36AP6",356,413.2
"RNU6-1271P",357,414.2
"RNU6-526P",358,415.4
"RNU1-38P",359,416.7
"RN7SL321P",360,417.7
"RN7SL645P",361,418.7
"RN7SKP47",362,419.8
"LOC399748",363,420.8
"ANKRD61",364,422
"RNU6-451P",365,423
"HMGA1P1",366,424
"RNU6-359P",367,425
"LOC100131830",368,426
"SNORA70D",369,427.1
"RNU6-181P",370,428.6
"RNU6-1095P",371,429.6
"RN7SL35P",372,430.6
"RNA5SP218",373,431.6
"TATDN2P1",374,432.7
"RN7SKP153",375,434
"RN7SKP101",376,435.2
"RN7SL97P",377,436.3
"RN7SL468P",378,438
"GPR79",379,439.2
"LOC728804",380,440.2
"RNU6-1219P",381,441.2
"RNA5SP68",382,442.3
"RN7SL861P",383,444
"RIMKLBP1",384,445
"RNU6-843P",385,446.1
"RNU1-115P",386,447.3
"LOC729409",387,448.3
"RNU6-314P",388,449.5
"RN7SL258P",389,450.8
"MIR7641-2",390,451.8
"KRT18P14",391,453
"RN7SL862P",392,454.2
"MIR203A",393,455.3
"RN7SL385P",394,456.3
"RNU6-1138P",395,457.6
"RN7SKP227",396,458.6
"RNY4P30",397,459.6
"RN7SKP68",398,461
"LOC644186",399,462.1
"RNA5SP492",400,463.1
"RNA5SP491",401,464.1
"RNU6-454P",402,465.1
"RN7SL762P",403,466.1
"RNU6-705P",404,467.1
"ARHGAP19-SLIT1",405,468.2
"HMGN2P6",406,469.2
"RNA5SP190",407,470.2
"LOC101928885",408,471.5
"RN7SKP173",409,472.5
"RN7SL284P",410,473.5
"LOC729800",411,474.5
"RN7SL851P",412,475.6
"RNU6-731P",413,476.6
"RN7SKP163",414,477.6
"RN7SKP262",415,478.8
"EIF2S2P3",416,479.8
"RN7SL733P",417,481.6
"RNU6-1276P",418,482.6
"RPL34P6",419,483.7
"RNU6-409P",420,485
"RNU6-799P",421,486.6
"RN7SL292P",422,487.8
"RNU6-53P",423,489.2
"RNU2-65P",424,490.2
"RN7SKP64",425,491.2
"RN7SL16P",426,492.2
"RPL23AP12",427,493.2
"RN7SL863P",428,494.3
"RNU1-56P",429,495.3
"LOC642636",430,496.3
"RNU2-70P",431,497.6
"RNU6-421P",432,498.6
"RNU4ATAC6P",433,499.6
"TRGV7",434,500.6
"RPS2P7",435,501.6
"RN7SL20P",436,502.8
"MIR219A2",437,503.8
"RNU6-518P",438,504.9
"RN7SL597P",439,505.9
"EEF1A1P11",440,506.9
"TXNP6",441,507.9
"RN7SL515P",442,508.9
"OR7E43P",443,509.9
"RNU2-43P",444,511
"RN7SKP122",445,512
"RN7SKP182",446,513.2
"RNU4-49P",447,514.2
"RNU6ATAC23P",448,515.2
"RNU6-159P",449,516.2
"OR1R1P",450,517.2
"RN7SL363P",451,518.2
"RNU6-276P",452,519.7
"RAC1P2",453,520.7
"RN7SL555P",454,521.8
"RP6-11O7.2",455,522.8
"RN7SKP7",456,523.8
"RNU1-74P",457,524.8
"RNU6-876P",458,525.8
"RN7SL684P",459,526.8
"RNA5SP322",460,528
"FLJ22675",461,529
"RN7SL77P",462,530.1
"KRT18P52",463,531.3
"OR7E102P",464,532.3
"RN7SKP202",465,533.5
"RN7SKP260",466,534.6
"RN7SL242P",467,535.8
"RNU6-1272P",468,536.8
"RNU1-14P",469,537.8
"RNU6-270P",470,538.8
"RN7SKP207",471,539.8
"RPL7P17",472,540.8
"RNU6-445P",473,541.8
"RNU6-360P",474,542.9
"RNU6V",475,544.1
"RNA5SP154",476,545.1
"MIR451A",477,546.3
"RN7SKP257",478,547.5
"RN7SL665P",479,548.6
"SCAND3",480,549.8
"RN7SL400P",481,550.8
"RNU6-810P",482,551.8
"RN7SKP192",483,552.8
"RNU1-132P",484,553.8
"RN7SL135P",485,554.8
"RNU6-620P",486,555.8
"ZNF123P",487,556.9
"MTND4P1",488,558.3
"RN7SL636P",489,559.4
"RNU5A-2P",490,560.6
"RNU6-1264P",491,561.6
"RPS2P2",492,562.6
"RNA5SP329",493,564
"RN7SKP44",494,565.1
"RN7SL477P",495,566.1
"RN7SL225P",496,567.3
"RNU6-822P",497,568.3
"KRT18P32",498,569.3
"OR7E22P",499,570.5
"RN7SL799P",500,572
"RNU6-1088P",501,573.1
