GSEID,GPL,indicadorMT,muestrasSexo,anotacionSexo,sex_tags,nSamples_adi,nMales,nFemales,MaleGSMs,FemaleGSMs
GSE27657,GPL570,MONOTEJIDO,AMBOS,SI,Sex: Male///Sex: Female,18,4,14,"GSM685065', 'GSM685067', 'GSM685074', 'GSM685076'","GSM685066', 'GSM685068', 'GSM685069', 'GSM685070', 'GSM685071', 'GSM685072', 'GSM685073', 'GSM685075', 'GSM685077', 'GSM685078', 'GSM685079', 'GSM685080', 'GSM685081', 'GSM685082'"
GSE27916,GPL570,MONOTEJIDO,AMBOS,SI,Sex: male///Sex: female,375,113,262,"GSM689465', 'GSM689467', 'GSM689469', 'GSM689476', 'GSM689485', 'GSM689489', 'GSM689491', 'GSM689500', 'GSM689506', 'GSM689507', 'GSM689508', 'GSM689509', 'GSM689513', 'GSM689517', 'GSM689521', 'GSM689526', 'GSM689527', 'GSM689528', 'GSM689530', 'GSM689533', 'GSM689543', 'GSM689544', 'GSM689547', 'GSM689550', 'GSM689551', 'GSM689552', 'GSM689558', 'GSM689559', 'GSM689566', 'GSM689567', 'GSM689568', 'GSM689569', 'GSM689571', 'GSM689573', 'GSM689576', 'GSM689583', 'GSM689586', 'GSM689588', 'GSM689590', 'GSM689592', 'GSM689597', 'GSM689598', 'GSM689601', 'GSM689602', 'GSM689614', 'GSM689615', 'GSM689618', 'GSM689619', 'GSM689620', 'GSM689621', 'GSM689640', 'GSM689641', 'GSM689642', 'GSM689646', 'GSM689650', 'GSM689657', 'GSM689662', 'GSM689663', 'GSM689664', 'GSM689667', 'GSM689672', 'GSM689673', 'GSM689676', 'GSM689677', 'GSM689688', 'GSM689701', 'GSM689703', 'GSM689707', 'GSM689709', 'GSM689710', 'GSM689714', 'GSM689715', 'GSM689717', 'GSM689718', 'GSM689719', 'GSM689724', 'GSM689727', 'GSM689730', 'GSM689731', 'GSM689734', 'GSM689735', 'GSM689739', 'GSM689740', 'GSM689741', 'GSM689742', 'GSM689746', 'GSM689753', 'GSM689758', 'GSM689763', 'GSM689767', 'GSM689768', 'GSM689779', 'GSM689780', 'GSM689781', 'GSM689784', 'GSM689792', 'GSM689795', 'GSM689799', 'GSM689806', 'GSM689807', 'GSM689809', 'GSM689810', 'GSM689812', 'GSM689813', 'GSM689816', 'GSM689817', 'GSM689818', 'GSM689825', 'GSM689828', 'GSM689831', 'GSM689833', 'GSM689834', 'GSM689837'","GSM689463', 'GSM689464', 'GSM689466', 'GSM689468', 'GSM689470', 'GSM689471', 'GSM689472', 'GSM689473', 'GSM689474', 'GSM689475', 'GSM689477', 'GSM689478', 'GSM689479', 'GSM689480', 'GSM689481', 'GSM689482', 'GSM689483', 'GSM689484', 'GSM689486', 'GSM689487', 'GSM689488', 'GSM689490', 'GSM689492', 'GSM689493', 'GSM689494', 'GSM689495', 'GSM689496', 'GSM689497', 'GSM689498', 'GSM689499', 'GSM689501', 'GSM689502', 'GSM689503', 'GSM689504', 'GSM689505', 'GSM689510', 'GSM689511', 'GSM689512', 'GSM689514', 'GSM689515', 'GSM689516', 'GSM689518', 'GSM689519', 'GSM689520', 'GSM689522', 'GSM689523', 'GSM689524', 'GSM689525', 'GSM689529', 'GSM689531', 'GSM689532', 'GSM689534', 'GSM689535', 'GSM689536', 'GSM689537', 'GSM689538', 'GSM689539', 'GSM689540', 'GSM689541', 'GSM689542', 'GSM689545', 'GSM689546', 'GSM689548', 'GSM689549', 'GSM689553', 'GSM689554', 'GSM689555', 'GSM689556', 'GSM689557', 'GSM689560', 'GSM689561', 'GSM689562', 'GSM689563', 'GSM689564', 'GSM689565', 'GSM689570', 'GSM689572', 'GSM689574', 'GSM689575', 'GSM689577', 'GSM689578', 'GSM689579', 'GSM689580', 'GSM689581', 'GSM689582', 'GSM689584', 'GSM689585', 'GSM689587', 'GSM689589', 'GSM689591', 'GSM689593', 'GSM689594', 'GSM689595', 'GSM689596', 'GSM689599', 'GSM689600', 'GSM689603', 'GSM689604', 'GSM689605', 'GSM689606', 'GSM689607', 'GSM689608', 'GSM689609', 'GSM689610', 'GSM689611', 'GSM689612', 'GSM689613', 'GSM689616', 'GSM689617', 'GSM689622', 'GSM689623', 'GSM689624', 'GSM689625', 'GSM689626', 'GSM689627', 'GSM689628', 'GSM689629', 'GSM689630', 'GSM689631', 'GSM689632', 'GSM689633', 'GSM689634', 'GSM689635', 'GSM689636', 'GSM689637', 'GSM689638', 'GSM689639', 'GSM689643', 'GSM689644', 'GSM689645', 'GSM689647', 'GSM689648', 'GSM689649', 'GSM689651', 'GSM689652', 'GSM689653', 'GSM689654', 'GSM689655', 'GSM689656', 'GSM689658', 'GSM689659', 'GSM689660', 'GSM689661', 'GSM689665', 'GSM689666', 'GSM689668', 'GSM689669', 'GSM689670', 'GSM689671', 'GSM689674', 'GSM689675', 'GSM689678', 'GSM689679', 'GSM689680', 'GSM689681', 'GSM689682', 'GSM689683', 'GSM689684', 'GSM689685', 'GSM689686', 'GSM689687', 'GSM689689', 'GSM689690', 'GSM689691', 'GSM689692', 'GSM689693', 'GSM689694', 'GSM689695', 'GSM689696', 'GSM689697', 'GSM689698', 'GSM689699', 'GSM689700', 'GSM689702', 'GSM689704', 'GSM689705', 'GSM689706', 'GSM689708', 'GSM689711', 'GSM689712', 'GSM689713', 'GSM689716', 'GSM689720', 'GSM689721', 'GSM689722', 'GSM689723', 'GSM689725', 'GSM689726', 'GSM689728', 'GSM689729', 'GSM689732', 'GSM689733', 'GSM689736', 'GSM689737', 'GSM689738', 'GSM689743', 'GSM689744', 'GSM689745', 'GSM689747', 'GSM689748', 'GSM689749', 'GSM689750', 'GSM689751', 'GSM689752', 'GSM689754', 'GSM689755', 'GSM689756', 'GSM689757', 'GSM689759', 'GSM689760', 'GSM689761', 'GSM689762', 'GSM689764', 'GSM689765', 'GSM689766', 'GSM689769', 'GSM689770', 'GSM689771', 'GSM689772', 'GSM689773', 'GSM689774', 'GSM689775', 'GSM689776', 'GSM689777', 'GSM689778', 'GSM689782', 'GSM689783', 'GSM689785', 'GSM689786', 'GSM689787', 'GSM689788', 'GSM689789', 'GSM689790', 'GSM689791', 'GSM689793', 'GSM689794', 'GSM689796', 'GSM689797', 'GSM689798', 'GSM689800', 'GSM689801', 'GSM689802', 'GSM689803', 'GSM689804', 'GSM689805', 'GSM689808', 'GSM689811', 'GSM689814', 'GSM689815', 'GSM689819', 'GSM689820', 'GSM689821', 'GSM689822', 'GSM689823', 'GSM689824', 'GSM689826', 'GSM689827', 'GSM689829', 'GSM689830', 'GSM689832', 'GSM689835', 'GSM689836'"
GSE41168,GPL570,MULTITEJIDO,MUJERES,SI,gender: Female,70,0,70,NULL,"GSM1009752', 'GSM1009753', 'GSM1009756', 'GSM1009757', 'GSM1009760', 'GSM1009761', 'GSM1009764', 'GSM1009765', 'GSM1009768', 'GSM1009769', 'GSM1009772', 'GSM1009773', 'GSM1009776', 'GSM1009777', 'GSM1009778', 'GSM1009779', 'GSM1009782', 'GSM1009783', 'GSM1009784', 'GSM1009785', 'GSM1009788', 'GSM1009789', 'GSM1009796', 'GSM1009797', 'GSM1009800', 'GSM1009801', 'GSM1009804', 'GSM1009805', 'GSM1009806', 'GSM1009807', 'GSM1009810', 'GSM1009811', 'GSM1009812', 'GSM1009813', 'GSM1009816', 'GSM1009817', 'GSM1009820', 'GSM1009821', 'GSM1009824', 'GSM1009825', 'GSM1009828', 'GSM1009829', 'GSM1009832', 'GSM1009833', 'GSM1009836', 'GSM1009837', 'GSM1009840', 'GSM1009841', 'GSM1009844', 'GSM1009845', 'GSM1009848', 'GSM1009849', 'GSM1009854', 'GSM1009855', 'GSM1009858', 'GSM1009859', 'GSM1009862', 'GSM1009863', 'GSM1009866', 'GSM1009867', 'GSM1009872', 'GSM1009873', 'GSM1009874', 'GSM1009875', 'GSM1009878', 'GSM1009879', 'GSM1009882', 'GSM1009883', 'GSM1009886', 'GSM1009887'"
GSE61302,GPL570,MONOTEJIDO,MUJERES,SI,gender: female,15,0,15,NULL,"GSM1501795', 'GSM1501796', 'GSM1501797', 'GSM1501798', 'GSM1501799', 'GSM1501800', 'GSM1501801', 'GSM1501802', 'GSM1501803', 'GSM1501804', 'GSM1501805', 'GSM1501806', 'GSM1501807', 'GSM1501808', 'GSM1501809'"
GSE66159,GPL570,MULTITEJIDO,MUJERES,NO,NA,38,0,38,NULL,"GSM1615577', 'GSM1615578', 'GSM1615579', 'GSM1615580', 'GSM1615581', 'GSM1615582', 'GSM1615583', 'GSM1615584', 'GSM1615585', 'GSM1615586', 'GSM1615587', 'GSM1615588', 'GSM1615589', 'GSM1615590', 'GSM1615591', 'GSM1615592', 'GSM1615593', 'GSM1615594', 'GSM1615595', 'GSM1615596', 'GSM1615597', 'GSM1615598', 'GSM1615599', 'GSM1615600', 'GSM1615601', 'GSM1615602', 'GSM1615603', 'GSM1615604', 'GSM1615605', 'GSM1615606', 'GSM1615607', 'GSM1615608', 'GSM1615609', 'GSM1615610', 'GSM1615611', 'GSM1615612', 'GSM1615613', 'GSM1615614'"
GSE71416,GPL570,MONOTEJIDO,AMBOS,SI,Sex: Male///Sex: Female,20,5,15,"GSM1833926', 'GSM1833929', 'GSM1833930', 'GSM1833932', 'GSM1833941'","GSM1833927', 'GSM1833928', 'GSM1833931', 'GSM1833933', 'GSM1833934', 'GSM1833935', 'GSM1833936', 'GSM1833937', 'GSM1833938', 'GSM1833939', 'GSM1833940', 'GSM1833942', 'GSM1833943', 'GSM1833944', 'GSM1833945'"
GSE88837,GPL570,MONOTEJIDO,MUJERES,SI,gender: Female,30,0,30,NULL,"GSM2349936', 'GSM2349937', 'GSM2349938', 'GSM2349939', 'GSM2349940', 'GSM2349941', 'GSM2349942', 'GSM2349943', 'GSM2349944', 'GSM2349945', 'GSM2349946', 'GSM2349947', 'GSM2349948', 'GSM2349949', 'GSM2349950', 'GSM2349951', 'GSM2349952', 'GSM2349953', 'GSM2349954', 'GSM2349955', 'GSM2349956', 'GSM2349957', 'GSM2349958', 'GSM2349959', 'GSM2349960', 'GSM2349961', 'GSM2349962', 'GSM2349963', 'GSM2349964', 'GSM2349965'"
GSE9624,GPL570,MONOTEJIDO,AMBOS,SI,gender: M///gender: F,11,10,1,"GSM243215', 'GSM243216', 'GSM243218', 'GSM243219', 'GSM243220', 'GSM243225', 'GSM243226', 'GSM243227', 'GSM243228', 'GSM243275'",NULL
GSE25401,GPL6244,MONOTEJIDO,MUJERES,SI,genotype: female,56,0,56,NULL,"GSM623761', 'GSM623762', 'GSM623763', 'GSM623764', 'GSM623765', 'GSM623766', 'GSM623767', 'GSM623768', 'GSM623769', 'GSM623770', 'GSM623771', 'GSM623772', 'GSM623773', 'GSM623774', 'GSM623775', 'GSM623776', 'GSM623777', 'GSM623778', 'GSM623779', 'GSM623780', 'GSM623781', 'GSM623782', 'GSM623783', 'GSM623784', 'GSM623785', 'GSM623786', 'GSM623787', 'GSM623788', 'GSM623789', 'GSM623790', 'GSM623791', 'GSM623792', 'GSM623793', 'GSM623794', 'GSM623795', 'GSM623796', 'GSM623797', 'GSM623798', 'GSM623799', 'GSM623800', 'GSM623801', 'GSM623802', 'GSM623803', 'GSM623804', 'GSM623805', 'GSM623806', 'GSM623807', 'GSM623808', 'GSM623809', 'GSM623810', 'GSM623811', 'GSM623812', 'GSM623813', 'GSM623814', 'GSM623815', 'GSM623816'"
GSE25910,GPL6244,MONOTEJIDO,MUJERES,SI,gender: female,36,0,36,NULL,"GSM636662', 'GSM636663', 'GSM636664', 'GSM636665', 'GSM636666', 'GSM636667', 'GSM636668', 'GSM636669', 'GSM636670', 'GSM636671', 'GSM636672', 'GSM636673', 'GSM636674', 'GSM636675', 'GSM636676', 'GSM636677', 'GSM636678', 'GSM636679', 'GSM636680', 'GSM636681', 'GSM636682', 'GSM636683', 'GSM636684', 'GSM636685', 'GSM636686', 'GSM636687', 'GSM636688', 'GSM636689', 'GSM636690', 'GSM636691', 'GSM636692', 'GSM636693', 'GSM636694', 'GSM636695', 'GSM636696', 'GSM636697'"
GSE33070,GPL6244,MONOTEJIDO,AMBOS,SI,gender: Male///gender: Female,26,10,16,"GSM819098', 'GSM819099', 'GSM819101', 'GSM819103', 'GSM819108', 'GSM819111', 'GSM819114', 'GSM819115', 'GSM819118', 'GSM819120'","GSM819096', 'GSM819097', 'GSM819100', 'GSM819102', 'GSM819104', 'GSM819105', 'GSM819106', 'GSM819107', 'GSM819109', 'GSM819110', 'GSM819112', 'GSM819113', 'GSM819116', 'GSM819117', 'GSM819119', 'GSM819121'"
GSE73655,GPL6244,MONOTEJIDO,AMBOS,SI,gender: Male///gender: Female,20,6,14,"GSM1900070', 'GSM1900071', 'GSM1900072', 'GSM1900078', 'GSM1900087', 'GSM1900088'","GSM1900073', 'GSM1900074', 'GSM1900075', 'GSM1900076', 'GSM1900077', 'GSM1900079', 'GSM1900080', 'GSM1900081', 'GSM1900082', 'GSM1900083', 'GSM1900084', 'GSM1900085', 'GSM1900086', 'GSM1900089'"
GSE41223,GPL6244,MONOTEJIDO,AMBOS,SI,gender: Male///gender: Female,20,4,16,"GSM1011037', 'GSM1011038', 'GSM1011039', 'GSM1011040'","GSM1011041', 'GSM1011042', 'GSM1011043', 'GSM1011044', 'GSM1011045', 'GSM1011046', 'GSM1011047', 'GSM1011048', 'GSM1011049', 'GSM1011050', 'GSM1011051', 'GSM1011052', 'GSM1011053', 'GSM1011054', 'GSM1011055', 'GSM1011056'"
GSE54280,GPL6244,MONOTEJIDO,AMBOS,SI,gender: male///gender: female,12,6,6,"GSM1311783', 'GSM1311784', 'GSM1311789', 'GSM1311790', 'GSM1311793', 'GSM1311794'","GSM1311785', 'GSM1311786', 'GSM1311787', 'GSM1311788', 'GSM1311791', 'GSM1311792'"
GSE73108,GPL10558,MONOTEJIDO,MUJERES,SI,gender: female,12,0,12,NULL,"GSM1886833', 'GSM1886834', 'GSM1886835', 'GSM1886836', 'GSM1886837', 'GSM1886838', 'GSM1886839', 'GSM1886840', 'GSM1886841', 'GSM1886842', 'GSM1886843', 'GSM1886844'"
