"X","Gene","metaRanking","RP"
1,"Rn28s1",1,2.178
2,"mt-Rnr1",2,4.282
3,"CYTB",3,5.615
4,"Rn7sk",4,7.34
5,"mt-Rnr2",5,10.93
6,"ND1",6,14.92
7,"ND2",7,15.23
8,"Gm14296",8,16.35
9,"LOC100045585",9,19.28
10,"ATP6",10,21.26
11,"ND4",11,23.4
12,"COX1",12,26.38
13,"7530428D23Rik",13,30.11
14,"4833413D08Rik",14,31.75
15,"Nsep1",15,33.43
16,"Gm8973",16,34.7
17,"Lba1",17,38.68
18,"G0B-alpha",18,40.15
19,"Cn1a",19,42.43
20,"Lrrc67",20,43.8
21,"LOC100043544",21,45.16
22,"4930505D03Rik",22,47.17
23,"Tll",23,51.22
24,"LOC664822",24,52.5
25,"LOC635720",25,53.78
26,"F730015K02Rik",26,55.22
27,"AU042671",27,56.47
28,"A830027B17Rik",28,59.78
29,"Gprc2a-rs5",29,61.3
30,"C130069I09Rik",30,62.73
31,"LOC677215",31,63.98
32,"AI844366",32,66.66
33,"A830054O04Rik",33,72.04
34,"COX2",34,72.95
35,"Csnd",35,74.18
36,"LOC547329",36,78.93
37,"Rdh20",37,80.28
38,"Rps11-ps2",38,81.91
39,"8030475D13Rik",39,83.49
40,"EG668310",40,86.08
41,"OTTMUSG00000010173",41,88.24
42,"Gm4819",42,89.58
43,"5330432B20Rik",43,90.84
44,"Gm318",44,92.09
45,"Defcr3",45,93.41
46,"1700085A12Rik",46,95.16
47,"Gm7222",47,98.82
48,"Murr2",48,100.1
49,"mtDNA_COXIII",49,102.4
50,"LOC382933",50,103.7
51,"mKIAA1108",51,105
52,"D730040F13Rik",52,106.3
53,"BC050078",53,109.4
54,"D930046H04Rik",54,110.8
55,"B230215L15Rik",55,113.1
56,"8430426H19Rik",56,115.6
57,"2700010E02Rik",57,117.1
58,"BC042720",58,118.4
59,"Nef3",59,120.9
60,"ND4L",60,122.4
61,"Sec8",61,124.5
62,"LOC100044443",62,125.8
63,"Gm6344",63,127
64,"LOC677551",64,129.5
65,"5430404L10Rik",65,131
66,"LOC100047966",66,132.7
67,"LOC100046800",67,134
68,"Rpl19-ps11",68,135.6
69,"E130112H22Rik",69,136.9
70,"4921509A18Rik",70,139.1
71,"V1rb10",71,140.6
72,"4930550G17Rik",72,141.9
73,"Gm12034",73,144
74,"LOC100044766",74,145.4
75,"5-Htr2c",75,146.7
76,"Jarid1a",76,148.4
77,"9030411M15Rik",77,150.1
78,"1700041C02Rik",78,152.3
79,"LOC100044699",79,154.1
80,"LOC667118",80,156.1
81,"Uba52",81,156.1
82,"EG382109",82,159.2
83,"6130401L20Rik",83,162.1
84,"4731413G05Rik",84,163.6
85,"E130113E03Rik",85,164.9
86,"LOC384448",86,166.2
87,"LOC100039649",87,170.2
88,"2700082O15Rik",88,172.1
89,"1700124P09Rik",89,174.1
90,"1700112M01Rik",90,175.8
91,"LOC100039479",91,178
92,"Gm6444",92,180.7
93,"LOC100040885",93,183.8
94,"LOC386137",94,186.1
95,"LOC381729",95,188.3
96,"6430702L21Rik",96,189.6
97,"LOC666466",97,190.9
98,"4930519B02Rik",98,193.1
99,"B230217N24Rik",99,195.5
100,"Gsdmc1",100,198.9
101,"LOC669429",101,200.5
102,"EG235327",102,203
103,"Krtap16-10",103,205.3
104,"D630044D05Rik",104,206.8
105,"D130003B22Rik",105,209.5
106,"D230012E17Rik",106,211
107,"Rpl7a-ps12",107,213.8
108,"B230220E17Rik",108,215.1
109,"EG667598",109,216.6
110,"LOC100044008",110,219.8
111,"LOC269691",111,221.1
112,"ND5",112,222.5
113,"2900083I11Rik",113,223.1
114,"Gukmi1",114,224.5
115,"Scgb2b1",115,226.4
116,"Mil1-pending",116,227.7
117,"Tbx13",117,229.6
118,"2900084M01Rik",118,231.1
119,"LOC381351",119,232.9
120,"5730557B15Rik",120,235
121,"AU044581",121,237.7
122,"V2r3",122,239.3
123,"Eif3c",123,239.6
124,"LOC620009",124,241.3
125,"LOC100045505",125,242.6
126,"LOC386552",126,244.7
127,"Tect1",127,246
128,"4921507O14Rik",128,247.3
129,"1700096C12Rik",129,248.6
130,"Gm10293",130,250.2
131,"LOC100047839",131,252.3
132,"A930014I12Rik",132,253.6
133,"LOC670237",133,254.8
134,"2210012C09Rik",134,256.2
135,"LOC383566",135,257.6
136,"Gabt1",136,259
137,"3110001E11Rik",137,260.4
138,"EG626571",138,262.4
139,"4921517J08Rik",139,264.2
140,"E430029J22Rik",140,267.5
141,"Fth1",141,268.6
142,"LOC386252",142,268.9
143,"2810043G22Rik",143,270.3
144,"LOC100039227",144,271.6
145,"1110001D15Rik",145,272.9
146,"LOC380652",146,275.6
147,"LOC384049",147,277.4
148,"scl000244.1_65",148,279.5
149,"LOC639558",149,281.6
150,"IGHV1S32_X02464_Ig_heavy_variable_1S32_136",150,282.9
151,"E130112L23Rik",151,284.2
152,"EG668725",152,285.5
153,"1700006H03Rik",153,286.8
154,"scl0003381.1_13",154,289
155,"LOC381651",155,290.3
156,"ND3",156,290.9
157,"LOC380910",157,291.7
158,"4930438B07Rik",158,294.1
159,"D0Kist2",159,295.8
160,"Gm14399",160,297.1
161,"6330540D07Rik",161,299.2
162,"LOC386560",162,300.4
163,"LOC385672",163,301.7
164,"D530033B14Rik",164,303
165,"9130423G08Rik",165,305.8
166,"LOC406217",166,307
167,"LOC669520",167,309.2
168,"LOC213320",168,310.9
169,"LOC209183",169,314
170,"Csna",170,316.6
171,"LOC669365",171,318
172,"scl0003749.1_1",172,319.4
173,"D130065D13",173,320.8
174,"LOC100046932",174,322.4
175,"C330014O21Rik",175,323.7
176,"Ndrp",176,325.3
177,"9630026C21Rik",177,326.6
178,"LOC385128",178,327.9
179,"Supt4a",179,330
180,"LOC675056",180,331.2
181,"LOC100048514",181,333.7
182,"A930024F17Rik",182,335.2
183,"EG622509",183,336.5
184,"AI115600",184,337.8
185,"C730048C13Rik",185,339.9
186,"LOC382830",186,342.4
187,"4930596A03Rik",187,344.3
188,"Tptf-pending",188,345.5
189,"LOC386535",189,346.8
190,"9790357_3511_rc",190,349.4
191,"C530030I18Rik",191,350.8
192,"6030408C04Rik",192,352.5
193,"C130040D06Rik",193,354.5
194,"MJ-3000-107_2517",194,355.7
195,"B130018C03Rik",195,357.4
196,"LOC100047888",196,358.7
197,"E530004N13Rik",197,360.2
198,"IGHV1S127_AF304546_Ig_heavy_variable_1S127_146",198,362.7
199,"5530401P20Rik",199,363.9
200,"C630015D03Rik",200,365.1
